"year","total_ev_sales_per_year","total_charging_points_per_year","total_electricity_per_year","influence_metric"
2010,5,NA,1208514.001,NA
2011,1075,NA,1257900.003,NA
2012,8710,3610,1251329.999,3019136.92279501
2013,17210,6035,1300455.998,3708508.32238277
2014,31610,11775,1308168.004,3511778.39545138
2015,48810,17315,1294440.001,3648952.72589142
2016,81210,20200,1310016.0002,5266653.43446743
2017,127410,29350,1307956.0004,5677910.52848259
2018,262010,39700,1305894,8618571.45944584
2019,374350,53880,1293835.9999,8989374.65780559
2020,526292,79800,1286374.0001,8483813.85038382
2021,774760,90600,1279940.0003,10945323.5610643
