"year","total_ev_sales_per_year","total_charging_points_per_year","total_electricity_per_year","influence_metric"
2010,572,NA,1127547.698,NA
2011,5652,NA,1115507.53,NA
2012,31320,3236,1120451.68,10844421.0808405
2013,56504,10800,1138915.797,5958638.72163778
2014,89406,10860,1112757.932,9160887.26228287
2015,156244,62880,1130175.571,2808256.23275006
2016,229360,120000,1120645.522,2141927.14104933
2017,370276,126000,1117937.3841,3285280.81615089
2018,472220,148200,1142687.316,3641024.32092793
2019,638460,180000,1125422.0299,3991871.9400553
2020,1251180,205800,1058526.8923,6435411.45339123
2021,2100828,327000,1113242.2865,7152081.24239517
