"year","total_ev_sales_per_year","total_charging_points_per_year","total_electricity_per_year","influence_metric"
2010,425,NA,1274752.001,NA
2011,3575,NA,1254500.003,NA
2012,17630,9108,1275397.998,2468738.10987484
2013,38266,14682,1280296.003,3336861.92962798
2014,78056,16320,1262618.006,6038903.86497157
2015,136486,30420,1294600.001,5808506.76319809
2016,180360,32150,1285340.0004,7210697.43303714
2017,316684,64800,1293790.0005,6322879.51417194
2018,464960,117000,1274755.9997,5065902.13350865
2019,697480,179400,1231979.9998,4789751.45072745
2020,2001880,259200,1191030.0003,9198684.94213181
2021,3883320,355800,1230292.0002,13427817.67908
