"year","total_ev_sales_per_year","total_charging_points_per_year","total_electricity_per_year","influence_metric"
2010,40,NA,673466.481,NA
2011,110,NA,677922.17,NA
2012,920,1401,666420.764,437621.058443969
2013,2080,2812,646342.784,478091.390725462
2014,2700,4230,631789.869,403270.129148936
2015,4482,5310,646554.842,545736.120874576
2016,5400,4940,645767.244,705899.416518219
2017,9800,5580,656321.064,1152678.5711828
2018,19402,10410,654029.6459,1218970.52735368
2019,35034,27480,655849.9921,836137.140583384
2020,120014,39600,622875.8574,1887722.80681827
2021,276020,66600,653233.8141,2707291.25177
