"year","total_ev_sales_per_year","total_charging_points_per_year","total_electricity_per_year","influence_metric"
2010,5902,930,2225860.34,14125836.2652473
2011,29030,3200,2149964.924,19504213.0449125
2012,65001,7000,2154555.974,20006898.9808534
2013,98004,9000,2115240.723,23033561.312988
2014,286014,57500,2099151.266,10441506.9598909
2015,317580,132000,2062018.051,4961027.97451955
2016,359800,144600,2059149.142,5123664.32428492
2017,514300,175800,2050488.5038,5998670.29297122
2018,567020,178200,2075797.6967,6605043.82706416
2019,606540,185400,2001715.9983,6548655.99573292
2020,669180,179400,1931790.9253,7205773.97654545
2021,788200,174000,1980512.0051,8971491.73804494
