"year","total_ev_sales_per_year","total_charging_points_per_year","total_electricity_per_year","influence_metric"
2010,61,NA,960784,NA
2011,270,NA,1006300,NA
2012,510,NA,1028692.004,NA
2013,600,NA,1042940,NA
2014,1300,NA,1060014.002,NA
2015,3379,NA,1057928,NA
2016,10176,6060,1076933.9022,1808395.93874376
2017,29490,39900,1097764.5359,811355.292323083
2018,120620,81600,1132211.7509,1673619.87001909
2019,79800,133200,1093319.35,655006.637612612
2020,89400,140400,1106132.5741,704332.280089316
2021,200400,321000,1157949.0196,722906.490740935
