"year","total_ev_sales_per_year","total_charging_points_per_year","total_electricity_per_year","influence_metric"
2010,401,1200,260816.018,87156.0193483333
2011,2003,1600,259529.285,324898.223659375
2012,22780,11284,262660.13,530255.030255229
2013,101600,23284,261403.582,1140637.51637176
2014,117008.800000192,72720,263139.394,423399.679932862
2015,261690,109320,273324.745,654284.234532108
2016,268080,194400,270493.242,373013.520140741
2017,258492,200460,271714.4877,350374.246006926
2018,338330,220920,275206.3999,421467.414802494
2019,544140,283800,276524.3759,530190.182883108
2020,725060,390600,279225.204,518318.039969892
2021,981260,501600,278343.2857,544511.827204908
