"year","total_ev_sales_per_year","total_charging_points_per_year","total_electricity_per_year","influence_metric"
2010,3062,8400,275627.999,100472.968206905
2011,11806,9354,276587.999,349091.075068847
2012,25120,15032,302642.004,505745.552187334
2013,47800,18384,287241.999,746854.196703655
2014,114016,31860,295378.002,1057056.44306441
2015,205844,33180,302549.999,1876977.15473647
2016,318120,45000,308438,2180451.03466667
2017,484200,55320,309748.006,2711134.93321041
2018,640330,63000,309372.3482,3144450.72576041
2019,818418,84000,292857.8502,2853334.95291647
2020,1192432,103800,317490.904,3647266.99073726
2021,1556538,118200,330874.4545,4357179.87866769
