"year","total_ev_sales_per_year","total_charging_points_per_year","total_electricity_per_year","influence_metric"
2010,8,NA,320389.203,NA
2011,360,NA,318891.996,NA
2012,2180,NA,349021.999,NA
2013,4136,30,324425.999,44727531.0621333
2014,11703,5000,327617.997,766822.6837782
2015,23305,6600,336678.001,1188830.42625833
2016,39410,10200,333635.1251,1289074.53727363
2017,126870,25140,344843.9999,1740268.825271
2018,190242,32500,343758,2012221.8288
2019,276088,54000,349430,1786544.99703704
2020,540104,67200,345482.0001,2776729.31818468
2021,870158,82200,353927.9998,3746633.5821164
