"year","total_ev_sales_per_year","total_charging_points_per_year","total_electricity_per_year","influence_metric"
2010,1782,NA,746177.998,NA
2011,3835,6000,720439.999,460481.232694167
2012,15320,11344,719328.003,971447.9025
2013,23800,22640,715931.998,752614.026166078
2014,72400,30880,716973.335,1680986.70511658
2015,154022,46500,728323.995,2412428.35178258
2016,248020,64000,683856.6663,2650158.28712072
2017,356136,91200,678032.3598,2647716.365019
2018,496212,106200,682121.7702,3187165.7988181
2019,652476,100800,672571.0018,4353536.08105612
2020,1176574,125400,643813.1377,6040620.40411674
2021,2040504,169200,652928.1563,7874128.33713224
