"year","total_ev_sales_per_year","total_charging_points_per_year","total_electricity_per_year","influence_metric"
2010,5000,960,8408084.004,43792104.1875
2011,39800,15600,8376873.999,21371768.2795
2012,129000,48000,8272816.006,22233193.016125
2013,269000,60000,8324695.998,37322387.0577
2014,408110,120000,8380126.002,28500110.1889685
2015,1028520,189000,8369978.004,45548623.1570057
2016,1464600,228600,8384321.238,53716871.7636693
2017,1919600,260400,8303375.046,61210287.013447
2018,2977800,325200,8590375.9981,78660583.1707939
2019,3570400,462000,8509251.716,65760676.0320485
2020,4088800,594000,8284345.4902,57025306.1285013
2021,5730200,684000,8481231.6918,71051394.5034391
