"year","influence_metric","country"
2010,43792104.1875,"US"
2011,21371768.2795,"US"
2012,22233193.016125,"US"
2013,37322387.0577,"US"
2014,28500110.1889685,"US"
2015,45548623.1570057,"US"
2016,53716871.7636693,"US"
2017,61210287.013447,"US"
2018,78660583.1707939,"US"
2019,65760676.0320485,"US"
2020,57025306.1285013,"US"
2021,71051394.5034391,"US"
2010,NA,"Canada"
2011,NA,"Canada"
2012,3019136.92279501,"Canada"
2013,3708508.32238277,"Canada"
2014,3511778.39545138,"Canada"
2015,3648952.72589142,"Canada"
2016,5266653.43446743,"Canada"
2017,5677910.52848259,"Canada"
2018,8618571.45944584,"Canada"
2019,8989374.65780559,"Canada"
2020,8483813.85038382,"Canada"
2021,10945323.5610643,"Canada"
2015,23932132.1488136,"China"
2016,20176278.2587479,"China"
2017,26724444.9615563,"China"
2018,41751098.7978167,"China"
2019,30920660.462749,"China"
2020,25615323.4620617,"China"
2021,26137973.4497649,"China"
2010,14125836.2652473,"Japan"
2011,19504213.0449125,"Japan"
2012,20006898.9808534,"Japan"
2013,23033561.312988,"Japan"
2014,10441506.9598909,"Japan"
2015,4961027.97451955,"Japan"
2016,5123664.32428492,"Japan"
2017,5998670.29297122,"Japan"
2018,6605043.82706416,"Japan"
2019,6548655.99573292,"Japan"
2020,7205773.97654545,"Japan"
2021,8971491.73804494,"Japan"
2010,NA,"UK"
2011,460481.232694167,"UK"
2012,971447.9025,"UK"
2013,752614.026166078,"UK"
2014,1680986.70511658,"UK"
2015,2412428.35178258,"UK"
2016,2650158.28712072,"UK"
2017,2647716.365019,"UK"
2018,3187165.7988181,"UK"
2019,4353536.08105612,"UK"
2020,6040620.40411674,"UK"
2021,7874128.33713224,"UK"
2010,NA,"France"
2011,NA,"France"
2012,10844421.0808405,"France"
2013,5958638.72163778,"France"
2014,9160887.26228287,"France"
2015,2808256.23275006,"France"
2016,2141927.14104933,"France"
2017,3285280.81615089,"France"
2018,3641024.32092793,"France"
2019,3991871.9400553,"France"
2020,6435411.45339123,"France"
2021,7152081.24239517,"France"
2010,NA,"Germany"
2011,NA,"Germany"
2012,2468738.10987484,"Germany"
2013,3336861.92962798,"Germany"
2014,6038903.86497157,"Germany"
2015,5808506.76319809,"Germany"
2016,7210697.43303714,"Germany"
2017,6322879.51417194,"Germany"
2018,5065902.13350865,"Germany"
2019,4789751.45072745,"Germany"
2020,9198684.94213181,"Germany"
2021,13427817.67908,"Germany"
2010,NA,"Netherlands"
2011,NA,"Netherlands"
2012,2468738.10987484,"Netherlands"
2013,3336861.92962798,"Netherlands"
2014,6038903.86497157,"Netherlands"
2015,5808506.76319809,"Netherlands"
2016,7210697.43303714,"Netherlands"
2017,6322879.51417194,"Netherlands"
2018,5065902.13350865,"Netherlands"
2019,4789751.45072745,"Netherlands"
2020,9198684.94213181,"Netherlands"
2021,13427817.67908,"Netherlands"
2010,100472.968206905,"Norway"
2011,349091.075068847,"Norway"
2012,505745.552187334,"Norway"
2013,746854.196703655,"Norway"
2014,1057056.44306441,"Norway"
2015,1876977.15473647,"Norway"
2016,2180451.03466667,"Norway"
2017,2711134.93321041,"Norway"
2018,3144450.72576041,"Norway"
2019,2853334.95291647,"Norway"
2020,3647266.99073726,"Norway"
2021,4357179.87866769,"Norway"
2010,NA,"Sweden"
2011,NA,"Sweden"
2012,NA,"Sweden"
2013,44727531.0621333,"Sweden"
2014,766822.6837782,"Sweden"
2015,1188830.42625833,"Sweden"
2016,1289074.53727363,"Sweden"
2017,1740268.825271,"Sweden"
2018,2012221.8288,"Sweden"
2019,1786544.99703704,"Sweden"
2020,2776729.31818468,"Sweden"
2021,3746633.5821164,"Sweden"
2010,NA,"Korea"
2011,NA,"Korea"
2012,NA,"Korea"
2013,NA,"Korea"
2014,NA,"Korea"
2015,NA,"Korea"
2016,1808395.93874376,"Korea"
2017,811355.292323083,"Korea"
2018,1673619.87001909,"Korea"
2019,655006.637612612,"Korea"
2020,704332.280089316,"Korea"
2021,722906.490740935,"Korea"
2015,NA,"India"
2016,39292016.56352,"India"
2017,10621744.8850939,"India"
2018,7882069.28599437,"India"
2019,3013915.30825099,"India"
2020,12622978.1824369,"India"
2021,13187172.876949,"India"
2010,NA,"Italy"
2011,NA,"Italy"
2012,437621.058443969,"Italy"
2013,478091.390725462,"Italy"
2014,403270.129148936,"Italy"
2015,545736.120874576,"Italy"
2016,705899.416518219,"Italy"
2017,1152678.5711828,"Italy"
2018,1218970.52735368,"Italy"
2019,836137.140583384,"Italy"
2020,1887722.80681827,"Italy"
2021,2707291.25177,"Italy"
